"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:06.000]  Wszystkie słowa są jasne.
[00:06.000 --> 00:16.480]  mekk 좁óżnia
[00:32.480 --> 00:35.220]  Bardzo interrupting
[00:36.000 --> 00:38.000]  poważny, seriozny
[00:38.000 --> 00:41.500]  możemy też powiedzieć, że ktoś jest poważny
[00:41.500 --> 00:44.900]  jak ktoś jest poważny, to znaczy, że jest bardzo seriozny
[00:44.900 --> 00:45.900]  ok
[00:45.900 --> 00:47.900]  a co jeszcze?
[00:47.900 --> 00:52.900]  w zeszłym tygodniu
[00:52.900 --> 00:58.900]  zeszłym to była pierwsza tygodnia, prawda?
[00:58.900 --> 01:00.900]  tak, tygodnia przed
[01:00.900 --> 01:02.900]  tygodnia przed
[01:02.900 --> 01:08.900]  i pozdrawiam serdecznie
[01:21.900 --> 01:23.900]  coś takiego jak
[01:23.900 --> 01:25.900]  serdecznie, może
[01:25.900 --> 01:27.900]  o, szczerym zaufaniem
[01:27.900 --> 01:29.900]  coś takiego
[01:29.900 --> 01:31.900]  nie wiem
[01:31.900 --> 01:32.900]  kiedy my
[01:32.900 --> 01:34.900]  poświęcamy
[01:34.900 --> 01:36.900]  poświęcamy
[01:36.900 --> 01:37.900]  czytanie
[01:37.900 --> 01:38.900]  ok
[01:38.900 --> 01:39.900]  ale bardziej informacyjne
[01:39.900 --> 01:40.900]  bardziej przyjemne
[01:40.900 --> 01:41.900]  ok
[01:41.900 --> 01:42.900]  ok
[01:42.900 --> 01:43.900]  ok
[01:43.900 --> 01:45.900]  i wtedy chciałem tylko
[01:45.900 --> 01:47.900]  zrozumieć coś
[01:47.900 --> 01:48.900]  więc
[01:48.900 --> 01:50.900]  kiedy dokładnie powinniśmy
[01:50.900 --> 01:52.900]  używać słowa refleksywnych
[01:52.900 --> 01:53.900]  ze słowa
[01:53.900 --> 01:55.900]  ze słowa
[01:55.900 --> 01:56.900]  więc, tak, używają
[01:56.900 --> 01:58.900]  życzę
[01:58.900 --> 01:59.900]  życzę
[01:59.900 --> 02:00.900]  ale potem
[02:00.900 --> 02:01.900]  życzę
[02:01.900 --> 02:07.900]  radio
[02:07.900 --> 02:08.900]  bardzo bardzo�
[02:08.900 --> 02:09.900]  to teraz
[02:09.900 --> 02:12.700]  chåt
[02:12.700 --> 02:13.700]  lub
[02:13.700 --> 02:14.700]  od razu
[02:14.700 --> 02:15.780]  ły__
[02:15.780 --> 02:17.500]  je
[02:17.500 --> 02:18.500]  ride
[02:18.500 --> 02:19.440]  można
[02:19.440 --> 02:20.180]  그러니까
[02:20.180 --> 02:20.900]  zawsze
[02:20.900 --> 02:22.060]  zadają
[02:22.060 --> 02:22.900]  co
[02:22.900 --> 02:23.900]  nie
[02:23.900 --> 02:24.960]  z Tschu je
[02:24.960 --> 02:25.900]  I
[02:25.900 --> 02:26.900] uki
[02:28.540 --> 02:29.420]  pa
[02:29.420 --> 02:30.300]  madness
[02:30.300 --> 02:30.900]  here
[02:30.900 --> 02:35.900]  I ja jeszcze nie wiem odpowiedzi.
[02:35.900 --> 02:37.900]  Możemy powiedzieć
[02:37.900 --> 02:39.900]  RELAKSOWACI SIĘŁ
[02:39.900 --> 02:40.900]  czy
[02:40.900 --> 02:42.900]  OSPOTRZEBAĆ
[02:42.900 --> 02:44.900]  co oznacza to samo jak REST.
[02:44.900 --> 02:48.900]  Ale nie mam pojęcia dlaczego jest RELAKSOWACI SIĘŁ
[02:48.900 --> 02:51.900]  a dlaczego OSPOTRZEBAĆ nie jest OSPOTRZEBAĆ.
[02:51.900 --> 02:55.900]  To będzie więc odpowiedź, żeby użyć obie.
[02:55.900 --> 02:59.900]  W tym kontekście?
[02:59.900 --> 03:02.900]  Tak, ale RELAKSOWACI SIĘŁ
[03:02.900 --> 03:05.900]  czy coś innego bez SIĘŁ.
[03:05.900 --> 03:09.900]  Przepraszam, czy możesz powtórzyć ostatnią odpowiedź?
[03:09.900 --> 03:12.900]  RELAKSOWACI SIĘŁ
[03:12.900 --> 03:14.900]  ale OSPOTRZEBAĆ
[03:14.900 --> 03:16.900]  bez SIĘŁ.
[03:16.900 --> 03:18.900]  Bo wiele słów,
[03:18.900 --> 03:20.900]  wiele wersji
[03:20.900 --> 03:26.900]  bo mamy jedno słowo
[03:26.900 --> 03:28.900]  jak MYĆ SIĘŁ
[03:28.900 --> 03:29.900]  UCZYĆ SIĘŁ
[03:29.900 --> 03:31.900]  więc ty jesteś
[03:31.900 --> 03:37.900]  jesteś tym, kto robi coś dla siebie.
